gene_name	chrom	arm	start	end	strand	gene_id
OR4F5	chr1	p	69091	70008	+	ENSG00000186092.4
AL627309.1	chr1	p	134901	139379	-	ENSG00000237683.5
OR4F29	chr1	p	367640	368634	+	ENSG00000235249.1
OR4F16	chr1	p	621059	622053	-	ENSG00000185097.2
AL669831.1	chr1	p	738532	739137	-	ENSG00000269831.1
AL645608.2	chr1	p	818043	819983	+	ENSG00000269308.1
SAMD11	chr1	p	860260	879955	+	ENSG00000187634.6
AL645608.1	chr1	p	861264	866445	-	ENSG00000268179.1
NOC2L	chr1	p	879584	894689	-	ENSG00000188976.6
KLHL17	chr1	p	895967	901095	+	ENSG00000187961.9
PLEKHN1	chr1	p	901877	911245	+	ENSG00000187583.6
C1orf170	chr1	p	910579	917497	-	ENSG00000187642.5
HES4	chr1	p	934342	935552	-	ENSG00000188290.6
ISG15	chr1	p	948803	949920	+	ENSG00000187608.5
AGRN	chr1	p	955503	991496	+	ENSG00000188157.9
RNF223	chr1	p	1006346	1009687	-	ENSG00000237330.2
C1orf159	chr1	p	1017198	1051741	-	ENSG00000131591.13
TTLL10	chr1	p	1109264	1133315	+	ENSG00000162571.9
TNFRSF18	chr1	p	1138888	1142071	-	ENSG00000186891.9
TNFRSF4	chr1	p	1146706	1149518	-	ENSG00000186827.6
SDF4	chr1	p	1152288	1167411	-	ENSG00000078808.12
B3GALT6	chr1	p	1167629	1170421	+	ENSG00000176022.3
FAM132A	chr1	p	1177826	1182102	-	ENSG00000184163.3
UBE2J2	chr1	p	1189289	1209265	-	ENSG00000160087.16
SCNN1D	chr1	p	1215816	1227409	+	ENSG00000162572.15
ACAP3	chr1	p	1227756	1244989	-	ENSG00000131584.14
PUSL1	chr1	p	1243947	1247057	+	ENSG00000169972.7
CPSF3L	chr1	p	1246965	1260071	-	ENSG00000127054.14
GLTPD1	chr1	p	1260136	1264277	+	ENSG00000224051.2
TAS1R3	chr1	p	1266694	1270686	+	ENSG00000169962.4
DVL1	chr1	p	1270656	1284730	-	ENSG00000107404.13
MXRA8	chr1	p	1288069	1297157	-	ENSG00000162576.12
AURKAIP1	chr1	p	1309110	1310875	-	ENSG00000175756.9
CCNL2	chr1	p	1321091	1334708	-	ENSG00000221978.7
RP4-758J18.2	chr1	p	1334902	1337426	+	ENSG00000224870.3
